,probeID,pvalue
1,219452_at,4.48E-13
2,209110_s_at,8.17E-13
3,AFFX.HUMISGF3A.M97935_3_at,6.58E-11
4,200887_s_at,6.80E-11
5,213293_s_at,7.34E-11
6,203068_at,1.74E-10
7,218986_s_at,2.55E-10
8,206637_at,3.64E-10
9,203595_s_at,4.13E-10
10,211471_s_at,5.02E-10
11,220179_at,6.21E-10
12,213797_at,8.19E-10
13,203249_at,8.61E-10
14,214453_s_at,9.97E-10
15,AFFX.HUMISGF3A.M97935_MB_at,1.01E-09
16,202027_at,1.10E-09
17,203063_at,1.28E-09
18,202269_x_at,1.47E-09
19,209148_at,1.47E-09
20,204894_s_at,1.60E-09
21,205546_s_at,1.86E-09
22,205126_at,1.88E-09
23,209380_s_at,1.96E-09
24,212032_s_at,2.53E-09
25,219684_at,3.92E-09
26,202907_s_at,4.26E-09
27,204747_at,4.72E-09
28,218950_at,5.15E-09
29,204949_at,5.38E-09
30,219863_at,5.54E-09
31,37384_at,5.86E-09
32,217286_s_at,6.10E-09
33,203906_at,7.52E-09
34,206324_s_at,8.12E-09
35,204439_at,8.16E-09
36,212823_s_at,8.57E-09
37,203596_s_at,1.08E-08
38,217879_at,1.13E-08
39,217933_s_at,1.15E-08
40,203153_at,1.26E-08
41,204501_at,1.28E-08
42,217795_s_at,1.33E-08
43,207064_s_at,1.41E-08
44,AFFX.HUMISGF3A.M97935_MA_at,1.46E-08
45,218380_at,1.58E-08
46,212223_at,1.66E-08
47,212221_x_at,1.68E-08
48,209184_s_at,1.70E-08
49,201389_at,1.72E-08
50,201244_s_at,1.72E-08
51,205483_s_at,1.81E-08
52,214511_x_at,1.89E-08
53,202270_at,1.95E-08
54,219471_at,1.96E-08
55,213045_at,2.13E-08
56,206133_at,2.21E-08
57,201416_at,2.65E-08
58,217866_at,2.81E-08
59,210705_s_at,2.86E-08
60,212496_s_at,2.89E-08
61,217521_at,2.89E-08
62,209765_at,3.08E-08
63,218115_at,3.52E-08
64,204972_at,3.56E-08
65,218943_s_at,4.11E-08
66,201761_at,4.22E-08
67,212560_at,4.40E-08
68,216950_s_at,4.54E-08
69,212329_at,4.73E-08
70,219209_at,4.73E-08
71,205569_at,4.87E-08
72,212807_s_at,4.95E-08
73,212757_s_at,4.96E-08
74,219574_at,4.97E-08
75,214321_at,5.36E-08
76,210219_at,5.73E-08
77,218251_at,5.89E-08
78,204224_s_at,6.02E-08
79,211967_at,6.70E-08
80,219499_at,7.05E-08
81,205552_s_at,7.12E-08
82,38290_at,7.23E-08
83,202129_s_at,7.28E-08
84,204415_at,7.33E-08
85,209375_at,7.57E-08
86,214059_at,7.82E-08
87,214017_s_at,8.97E-08
88,219014_at,8.99E-08
89,210001_s_at,9.07E-08
90,205019_s_at,9.19E-08
91,218400_at,9.34E-08
92,206026_s_at,9.51E-08
93,210113_s_at,9.99E-08
94,202446_s_at,1.03E-07
95,202430_s_at,1.06E-07
96,218205_s_at,1.07E-07
97,209969_s_at,1.10E-07
98,200740_s_at,1.12E-07
99,217825_s_at,1.13E-07
100,208949_s_at,1.30E-07
101,203661_s_at,1.31E-07
102,214022_s_at,1.34E-07
103,221850_x_at,1.34E-07
104,202010_s_at,1.35E-07
105,210891_s_at,1.37E-07
106,203773_x_at,1.39E-07
107,220528_at,1.48E-07
108,208012_x_at,1.49E-07
109,202647_s_at,1.50E-07
110,210724_at,1.51E-07
111,206025_s_at,1.66E-07
112,219716_at,1.76E-07
113,204502_at,1.84E-07
114,204211_x_at,1.97E-07
115,203593_at,1.97E-07
116,201200_at,1.99E-07
117,206342_x_at,2.05E-07
118,201349_at,2.05E-07
119,203702_s_at,2.10E-07
120,213361_at,2.12E-07
121,201601_x_at,2.14E-07
122,204711_at,2.16E-07
123,210269_s_at,2.18E-07
124,202688_at,2.23E-07
125,205539_at,2.24E-07
126,211729_x_at,2.27E-07
127,217664_at,2.31E-07
128,209185_s_at,2.33E-07
129,222154_s_at,2.47E-07
130,201957_at,2.51E-07
131,209417_s_at,2.53E-07
132,211560_s_at,2.53E-07
133,32259_at,2.68E-07
134,211113_s_at,2.75E-07
135,208694_at,2.80E-07
136,210029_at,2.83E-07
137,219364_at,2.89E-07
138,218543_s_at,3.02E-07
139,202948_at,3.12E-07
140,202256_at,3.35E-07
141,219680_at,3.43E-07
142,209762_x_at,3.52E-07
143,202086_at,3.62E-07
144,201331_s_at,3.77E-07
145,203887_s_at,3.81E-07
146,202124_s_at,3.92E-07
147,219352_at,3.92E-07
148,215184_at,4.05E-07
149,221816_s_at,4.09E-07
150,213300_at,4.16E-07
151,201464_x_at,4.20E-07
152,201818_at,4.24E-07
153,212360_at,4.33E-07
154,44790_s_at,4.35E-07
155,45687_at,4.48E-07
156,203758_at,4.48E-07
157,204046_at,4.65E-07
158,213400_s_at,4.72E-07
159,221148_at,4.84E-07
160,205660_at,4.99E-07
161,203057_s_at,5.00E-07
162,214177_s_at,5.04E-07
163,217299_s_at,5.10E-07
164,202411_at,5.14E-07
165,212793_at,5.24E-07
166,205842_s_at,5.27E-07
167,200986_at,5.41E-07
168,204787_at,5.44E-07
169,202617_s_at,5.46E-07
170,202687_s_at,5.57E-07
171,201455_s_at,5.61E-07
172,206989_s_at,5.71E-07
173,217881_s_at,5.94E-07
174,213995_at,6.24E-07
175,212899_at,6.33E-07
176,219211_at,6.34E-07
177,201760_s_at,6.56E-07
178,210543_s_at,7.06E-07
179,219966_x_at,7.22E-07
180,201649_at,7.55E-07
181,217955_at,7.55E-07
182,218019_s_at,7.68E-07
183,218274_s_at,7.81E-07
184,209452_s_at,7.87E-07
185,204613_at,8.13E-07
186,203286_at,8.54E-07
187,202145_at,8.62E-07
188,203922_s_at,8.77E-07
189,210224_at,8.87E-07
190,215005_at,8.99E-07
191,201393_s_at,9.38E-07
192,202084_s_at,9.48E-07
193,219691_at,1.01E-06
194,206553_at,1.01E-06
195,214583_at,1.01E-06
196,207922_s_at,1.05E-06
197,217824_at,1.08E-06
198,213294_at,1.11E-06
199,206513_at,1.12E-06
200,202863_at,1.15E-06
201,217502_at,1.15E-06
202,208368_s_at,1.15E-06
203,209439_s_at,1.15E-06
204,206111_at,1.17E-06
205,201065_s_at,1.18E-06
206,203841_x_at,1.22E-06
207,219722_s_at,1.26E-06
208,209517_s_at,1.28E-06
209,203624_at,1.29E-06
210,200923_at,1.30E-06
211,201886_at,1.32E-06
212,210210_at,1.32E-06
213,218700_s_at,1.33E-06
214,201612_at,1.37E-06
215,203662_s_at,1.39E-06
216,204874_x_at,1.43E-06
217,201648_at,1.43E-06
218,203771_s_at,1.44E-06
219,206992_s_at,1.46E-06
220,212535_at,1.46E-06
221,219806_s_at,1.48E-06
222,216988_s_at,1.50E-06
223,205950_s_at,1.53E-06
224,215227_x_at,1.55E-06
225,208087_s_at,1.56E-06
226,218714_at,1.60E-06
227,221971_x_at,1.62E-06
228,219519_s_at,1.63E-06
229,209476_at,1.64E-06
230,218753_at,1.65E-06
231,221087_s_at,1.65E-06
232,221820_s_at,1.70E-06
233,202201_at,1.71E-06
234,205051_s_at,1.72E-06
235,206764_x_at,1.73E-06
236,212380_at,1.73E-06
237,218964_at,1.75E-06
238,214322_at,1.76E-06
239,44673_at,1.76E-06
240,207614_s_at,1.82E-06
241,201060_x_at,1.83E-06
242,203195_s_at,1.84E-06
243,220001_at,1.92E-06
244,211458_s_at,1.93E-06
245,204008_at,1.94E-06
246,202869_at,1.97E-06
247,221865_at,1.99E-06
248,202130_at,2.02E-06
249,207100_s_at,2.04E-06
250,218865_at,2.10E-06
251,211202_s_at,2.11E-06
252,AFFX.HUMISGF3A.M97935_5_at,2.12E-06
253,201739_at,2.14E-06
254,212242_at,2.15E-06
255,205875_s_at,2.21E-06
256,204533_at,2.25E-06
257,213589_s_at,2.27E-06
258,200788_s_at,2.31E-06
259,204428_s_at,2.32E-06
260,220038_at,2.32E-06
261,214329_x_at,2.43E-06
262,203298_s_at,2.44E-06
263,202227_s_at,2.44E-06
264,213988_s_at,2.50E-06
265,221139_s_at,2.52E-06
266,202826_at,2.54E-06
267,203221_at,2.55E-06
268,200838_at,2.56E-06
269,219607_s_at,2.60E-06
270,217826_s_at,2.62E-06
271,219627_at,2.63E-06
272,202070_s_at,2.68E-06
273,221932_s_at,2.69E-06
274,219356_s_at,2.77E-06
275,203456_at,2.83E-06
276,205687_at,2.85E-06
277,218739_at,2.94E-06
278,203451_at,3.01E-06
279,35254_at,3.01E-06
280,217388_s_at,3.03E-06
281,212973_at,3.06E-06
282,206656_s_at,3.07E-06
283,208328_s_at,3.13E-06
284,207500_at,3.21E-06
285,209390_at,3.25E-06
286,202069_s_at,3.38E-06
287,221541_at,3.47E-06
288,202074_s_at,3.50E-06
289,201641_at,3.58E-06
290,220326_s_at,3.61E-06
291,206515_at,3.62E-06
292,208616_s_at,3.67E-06
293,220315_at,3.70E-06
294,218408_at,3.73E-06
295,210797_s_at,3.80E-06
296,204483_at,3.87E-06
297,214708_at,4.06E-06
298,209999_x_at,4.08E-06
299,202864_s_at,4.14E-06
300,204140_at,4.17E-06
301,209460_at,4.20E-06
302,202131_s_at,4.44E-06
303,217371_s_at,4.59E-06
304,201395_at,4.60E-06
305,206643_at,4.66E-06
306,222057_at,4.72E-06
307,210561_s_at,4.75E-06
308,212359_s_at,4.89E-06
309,215897_at,4.93E-06
310,218969_at,5.10E-06
311,206723_s_at,5.14E-06
312,217125_at,5.27E-06
313,214684_at,5.32E-06
314,203888_at,5.33E-06
315,210685_s_at,5.35E-06
316,200079_s_at,5.45E-06
317,216356_x_at,5.46E-06
318,214812_s_at,5.48E-06
319,220945_x_at,5.50E-06
320,203094_at,5.53E-06
321,203567_s_at,5.58E-06
322,219999_at,5.58E-06
323,204174_at,5.60E-06
324,200067_x_at,5.73E-06
325,210452_x_at,5.74E-06
326,215495_s_at,5.78E-06
327,212738_at,5.84E-06
328,61734_at,5.88E-06
329,210223_s_at,5.90E-06
330,210647_x_at,5.92E-06
331,221627_at,5.98E-06
332,201864_at,5.99E-06
333,212658_at,6.02E-06
334,202837_at,6.03E-06
335,217432_s_at,6.17E-06
336,212845_at,6.20E-06
337,217751_at,6.34E-06
338,201537_s_at,6.44E-06
339,216206_x_at,6.64E-06
340,204567_s_at,6.68E-06
341,205441_at,6.70E-06
342,212001_at,6.72E-06
343,203185_at,6.79E-06
344,37796_at,6.79E-06
345,221492_s_at,6.87E-06
346,219102_at,6.93E-06
347,203258_at,7.13E-06
348,221876_at,7.17E-06
349,207827_x_at,7.19E-06
350,216231_s_at,7.33E-06
351,214091_s_at,7.36E-06
352,58780_s_at,7.45E-06
353,209403_at,7.54E-06
354,213727_x_at,7.55E-06
355,209827_s_at,7.63E-06
356,210657_s_at,7.73E-06
357,218644_at,7.85E-06
358,214433_s_at,7.89E-06
359,201891_s_at,8.24E-06
360,210218_s_at,8.28E-06
361,202894_at,8.36E-06
362,202672_s_at,8.38E-06
363,204929_s_at,8.38E-06
364,214446_at,8.40E-06
365,219938_s_at,8.42E-06
366,203703_s_at,8.51E-06
367,207181_s_at,8.64E-06
368,209339_at,8.68E-06
369,201875_s_at,8.84E-06
370,217614_at,8.92E-06
371,219316_s_at,9.01E-06
372,218589_at,9.06E-06
373,211546_x_at,9.22E-06
374,202923_s_at,9.24E-06
375,214766_s_at,9.26E-06
376,201997_s_at,9.39E-06
377,201460_at,9.40E-06
378,210648_x_at,9.45E-06
379,206208_at,9.59E-06
380,220146_at,9.64E-06
381,219358_s_at,9.65E-06
382,37652_at,9.72E-06
383,203232_s_at,9.75E-06
384,210507_s_at,9.78E-06
385,201646_at,9.86E-06
386,206213_at,1.01E-05
387,44146_at,1.01E-05
388,211075_s_at,1.01E-05
389,204466_s_at,1.02E-05
390,208093_s_at,1.03E-05
391,205771_s_at,1.03E-05
392,206608_s_at,1.08E-05
393,220199_s_at,1.08E-05
394,203116_s_at,1.08E-05
395,202314_at,1.09E-05
396,201061_s_at,1.10E-05
397,207350_s_at,1.11E-05
398,203882_at,1.14E-05
399,204258_at,1.15E-05
400,208436_s_at,1.18E-05
401,202905_x_at,1.19E-05
402,218085_at,1.22E-05
403,208653_s_at,1.24E-05
404,218168_s_at,1.24E-05
405,206514_s_at,1.24E-05
406,201549_x_at,1.24E-05
407,210465_s_at,1.25E-05
408,200911_s_at,1.26E-05
409,209333_at,1.26E-05
410,209459_s_at,1.26E-05
411,214467_at,1.26E-05
412,220419_s_at,1.27E-05
413,202348_s_at,1.29E-05
414,218202_x_at,1.31E-05
415,203246_s_at,1.34E-05
416,213153_at,1.38E-05
417,221472_at,1.38E-05
418,205570_at,1.38E-05
419,47083_at,1.38E-05
420,202624_s_at,1.39E-05
421,203977_at,1.42E-05
422,201548_s_at,1.42E-05
423,218740_s_at,1.44E-05
424,203435_s_at,1.44E-05
425,210592_s_at,1.45E-05
426,219096_at,1.45E-05
427,206522_at,1.47E-05
428,219034_at,1.48E-05
429,218308_at,1.49E-05
430,208936_x_at,1.50E-05
431,203556_at,1.50E-05
432,221693_s_at,1.51E-05
433,210959_s_at,1.52E-05
434,203115_at,1.53E-05
435,201399_s_at,1.58E-05
436,220088_at,1.58E-05
437,202439_s_at,1.58E-05
438,218639_s_at,1.59E-05
439,217046_s_at,1.60E-05
440,208966_x_at,1.61E-05
441,210895_s_at,1.62E-05
442,202116_at,1.62E-05
443,212047_s_at,1.64E-05
444,205841_at,1.65E-05
445,202748_at,1.65E-05
446,211012_s_at,1.67E-05
447,212576_at,1.67E-05
448,209890_at,1.69E-05
449,205592_at,1.71E-05
450,205986_at,1.72E-05
451,219193_at,1.72E-05
452,212165_at,1.74E-05
453,212153_at,1.75E-05
454,204882_at,1.76E-05
455,203066_at,1.76E-05
456,203588_s_at,1.80E-05
457,209568_s_at,1.86E-05
458,34689_at,1.87E-05
459,210283_x_at,1.89E-05
460,219227_at,1.90E-05
461,219439_at,1.91E-05
462,222134_at,1.93E-05
463,209276_s_at,1.94E-05
464,218034_at,1.94E-05
465,219261_at,1.97E-05
466,211712_s_at,2.00E-05
467,200827_at,2.00E-05
468,201288_at,2.01E-05
469,201285_at,2.06E-05
470,203907_s_at,2.10E-05
471,214100_x_at,2.11E-05
472,221311_x_at,2.11E-05
473,212914_at,2.12E-05
474,212068_s_at,2.14E-05
475,213545_x_at,2.14E-05
476,206332_s_at,2.18E-05
477,206829_x_at,2.18E-05
478,213351_s_at,2.20E-05
479,221044_s_at,2.20E-05
480,204385_at,2.22E-05
481,218524_at,2.23E-05
482,212669_at,2.24E-05
483,205170_at,2.24E-05
484,203927_at,2.25E-05
485,200840_at,2.28E-05
486,202792_s_at,2.28E-05
487,209438_at,2.31E-05
488,216549_s_at,2.32E-05
489,203181_x_at,2.34E-05
490,221680_s_at,2.34E-05
491,203604_at,2.35E-05
492,203610_s_at,2.36E-05
493,219763_at,2.38E-05
494,218334_at,2.38E-05
495,220308_at,2.39E-05
496,204698_at,2.39E-05
497,211456_x_at,2.42E-05
498,209807_s_at,2.42E-05
499,202425_x_at,2.45E-05
500,220452_x_at,2.46E-05
